,rar,alpha,gamma,epochs,ticker,perf
278,0.1,0.4,0.7,80,VGT,0.9995817411508404
279,0.1,0.4,0.7,80,XLI,0.9997108499129688
280,0.1,0.4,0.8,20,AAPL,1.0003016965119238
281,0.1,0.4,0.8,20,AMZN,1.0025590455940203
282,0.1,0.4,0.8,20,DJIA,1.0001053275771674
283,0.1,0.4,0.8,20,QQQ,0.9981089625957874
284,0.1,0.4,0.8,20,SPY,0.9996717947327484
285,0.1,0.4,0.8,20,VGT,0.9980228453821328
286,0.1,0.4,0.8,20,XLI,0.9984660016096124
287,0.1,0.4,0.8,40,AAPL,0.9990736155724556
288,0.1,0.4,0.8,40,AMZN,0.9977788670885273
289,0.1,0.4,0.8,40,DJIA,0.9988610473714968
290,0.1,0.4,0.8,40,QQQ,1.0001067870582037
291,0.1,0.4,0.8,40,SPY,1.0000234636764913
292,0.1,0.4,0.8,40,VGT,1.0001505976248632
293,0.1,0.4,0.8,40,XLI,0.9990582829549496
294,0.1,0.4,0.8,60,AAPL,1.0019376086100842
295,0.1,0.4,0.8,60,AMZN,0.995230643867534
296,0.1,0.4,0.8,60,DJIA,0.9999935299464664
297,0.1,0.4,0.8,60,QQQ,0.9989609597127588
298,0.1,0.4,0.8,60,SPY,1.0003918177897146
299,0.1,0.4,0.8,60,VGT,1.0000114165812746
300,0.1,0.4,0.8,60,XLI,1.0000610342697789
301,0.1,0.4,0.8,80,AAPL,1.000104539417732
302,0.1,0.4,0.8,80,AMZN,1.0057512636712038
303,0.1,0.4,0.8,80,DJIA,0.9995126513577604
